stemmed_tweet,label
ken sih simple ga ribetin ga ngutang but mikir lai ultah ka 19 samo wisuda amuah ba orgen apak den aaaa astaga,shock
beli kaos banyak ukur yg udah downgrade kucariin kok ngga nyata masuk lemari bapak mbak art ku kayak ga notice aku udah kurus,sadness
sahabat perlu filosopi tidak milik nilai hidup tetapi yang beri nilai langsung hidup happy friendship day,happy
kaga lah gw jg bukan cw tolol si daniel co bule mau numpang hidup jkt am ce yg bs kasih kemudahan2 hidup sini ga deh sorry biar jelek tua gw ga sudi dimanfaatin doang,anger
hampir 7 taun jogja skrng packing asa kemarin udah cicil bawa pulang tetep aja asa banyak padahal baju itu2 aja,sadness
dul era jokowi jauh lebih baik pada rezim sby 10 th menteri korup semua gak percaya adakan bukti balik sby korupsi,anger
kuota lain tidak bukan habis buka twitter kesel masternim maen twitter terus padaa sering upload fancam si pfft,sadness
alhamdulillah hari senin tggl 9 juli 2018 murid smaia 7 awal hari pertama masuk sekolah tahun ajar 20182019 sempat kali laksana apel pagi bina bapak kepala sekolah,happy
lanjut kali kali hubung kantor cabang sabang mereka beri solusiini sudah tanggal 05 juni 2018tolonglah nasabah beri solusi harus bagaimana jangan kalau ditelp lempar sana lempar sini loh yatapi ga solusi,anger
wktu jaman sekolah kalau laki2 yg suka boro2 mau nanggepin yg malu nya minta ampun smpe tuh laki malah d musuhin tp bocah jman skrng jomblo bentar galau nya minta ampun gmn klau kaya gua yg jomblo 7 tahun oldmoneygakngerasain,sadness
1 duren bau banget 2 nanas ga tau gatel makan nanas 3 ayam geprek apa enak 4 sate taichan sumpah g enk trllu kering 5 sgla minum rasa taro bubble gum entah aneh 6 mozarella apa yg enak si anjir heran dah,disgust
so soan ngeprank sih keseel panas tiris kunaon lagi meni tahan ngediemin aku hari,anger
betul betul mbah sya heran kok ada prof kyai buya mau bawah rok siembok tahu lama sekolah dapat satu tulis atau artikel muat jasa siembok negara,anger
run gak suka cowo jorok,disgust
iyaa kalbar kan aku critanya tmnku ga nyangka kalbar tpi respon mreka gtuuuuu,shock
anak nevolone marah grgr anton,anger
peristiwa gw sikap masing masing gak gw buat paket soale parpol parpol yg kader korup bukan cuma korup jahat lain tanya tiap jahat selalu hubung dgn tum kalo iya cek jahat yg laku kader parpol,anger
perang sama teroris bukan bela teroris perang sama dakwah2 radikal bukan bela radikal bacot doang gede ingat kunjung usir nyali lu ayam sayur sok ngomong perang,anger
tidakenak sangat bada pulang kerjan banyak,sadness
bayang diri cengkerama wanitawanita cantik barusan lumayan mantik api cemburu tanpa sadar kerucut bibir kerut kening dari ia tak tolak usap pipi melirikm,sadness
wow jujur ga nyangka bener p katla 376 26,shock
ga nyangka bgt,shock
sumpah mf nya bau banget lewat tadi,disgust
baru kali pakai fasilitas laboratorium kampus sendiri bayar kalo uang bayar tiap semster apa masuk doain buruk apa baik nih,anger
abang gue takut tetiba ditelp sm pihak rs ato apa kali yak scr doctag gue cantumin nama no telp jd klo kenapa2 sm gue yg bakal telp,fear
kalo sayang sayang pis kalo manja manja pis kalo alem alem pis kalo ngambek ngambek pis kalo koplak jangan ditanyaa gaes koplak lebih aku,love
dulu kaya hampir tengah jam 2x sesi jelasin org korea kata ciesampe pake dramain biat pd nyambung akhir baru pd ngerti nemu padan kata korea trus skrg gw yg lupa bhs koreanya cie apa hahahhaa,happy
lu anggap sexual harrassment wajar arti lu lnte alias lu neng kalo ngelecehin lu via vallen speak up udah tindak yang paling bener w warning laki2 semua cewe laku speakup timesup,anger
iya bener kak waktu tahun skip minum obat ikut saran keluarga obat alternatif dukun makanya malah tambah parah pas balik rs jiwa obat baru tahu kalau kena skizo,sadness
collab x selalu bikin kagum ambil sampah laut direcycle benar2 satu langkah kecil besar selamat hidup laut recucle terap pakai atau sepatu,happy
nemuin baca yg bikin ngakak tiap paragraf duh suka banget gua sama tulis,happy
sabar yah sayang waktu orang orang dapat balas ill make sure theyll get it dont hide ur smile dont give me fake smile everything gonna be okay,anger
lawan mah menang nya ta tidakenak p,happy
angin2an sih kadang tindak kadang enggak gak konsisten jd gak fair siapa yg rasa gak fair pmlik mbl yg pas parkir situ terus tindak kitu sanes,anger
jorok bat asu ide siapa dah,disgust
aku kira aku datang coba sapa temu usaha buat baik pecah celengan rindu tapi nyata aku salah semua ubah kau banyak habis waktu sama lain lupa rasa rindu ku ku milik untuk,sadness
aku jatuh sakit sakit buat jatuh cinta diri aku harap tular kamu akan jatuh cinta pada aku cinta kamu d,love
masamasa sudah lewat walaupun memang sampai fanatik banget sekarang risih lihat ndak tarik okesip,fear
tuhan selalu selalu kalau liat begini lah gue ikut senyum2 i love his gummy smile so much,love
lepas alam kurang asyik stadion harus terima kasih sebesarbesarnya warga bantul amp,happy
sumpah gue jijik denger lagu aaaaaaa aisyah jatuh cinta syantik hari aku syantik goyang jari aaah,anger
loh sugar rush ride tuh sebenernya lagu jorok yah,disgust
gue sayang banget banget banget kalo sama ikon baru kali rasa ngestan bener bener sayang banget kek rasa disayaaaang balik banget sama mereka jadi aku makin sayang gabisa lepas gimana jelasinnya ya tapi,love
gue ga ikhlas kalau lo masuk muncul di hidup gue jadi jangan muncul sakit hati gue asa di muncul lo apa alas jangan ganggu lagi,anger
then kalaupun gue jarang sama si x akhirakhir mungkin sedang pasuk dinamika teman yg rumit yey yg nama manusia ada slekslekkan nya la ga mungkin akur terus ga asik dong akur terus terus gue mesti jelasin k lu semua yg nanya ga kan,anger
toodays mail ga nyangka coret wl hyein bareface sama boneka secepet look how pretty they are uu,shock
seru bgt jadi manusia bnyk hubung sm manusia yg seru sih seruuu kadang2 ngebingungin jg jd gaenak malah atau tapi mo gimana lebih ngontrol ga baik lepas tangan ga bener sembunyi yaudahh dijalanin one step at a time aja,fear
aku bukan jilat pantat zohri kalian kalau kalian rasa iri takut akuanggap si zhri saudara ambi kalian jilat pantat kali habis berak kl aku hiiiyyy ambilhah semuaa,anger
hei claudia klo jawab kek gin udh gw tau dr kmrn les sabar kak dtunggu kak sila cek bla bla template semua ga mutu,anger
innalillahi wa inna ilaihi rajiun kabar duka limut aceh waris sultan aceh teungku putro safiatuddin cahya nur alam kabar tinggal dunia kota mataram nusa tenggara barat ntb rabu 662018 sekira pukul 0645 wita,sadness
lucu banget astaga batu untung banget aku jadi batu aja kali,shock
keren darimanee ada bau banget akun,disgust
wah gak ikut 3 hari belakang sy sibuk layan umat hindu bagus jg hindu agama gak usah dibawa2 politik umat pribadi aja main politik,fear
pasang jorok yg lebih jorok,disgust
kan aku sayang kamu,love
trus mbatin baikbaik sama milik baru tuh mas ganteng punya cafe tar kamu dipake main cafe kayak ku janjiin 4 tahun lalu,sadness
aku jg nyangka sih dlu hoki gtu,shock
muslim laki nyantai rokok makan siang hari bolong ramadhan di tengah ramai positive thinking mungkin lagi pms,anger
njirrr kl udh pasuk daerah rumah motor belakang lgsg ngebut gabrani liat spion cepat jadi sangat kencang i could fly my heart is about to explode bcz degdegan,fear
boi gimane nih wifi ganggu mulu jan mau kalah lah ama indie home kalo ampe bsk ganggu gue pake indie home aja lah,anger
astaga enak bgt ngilerrrr,shock
jujur aku ngga nyangka endingnya bakal semua baik2 aku tadi sempet ngerelain pisah anak2 6reeze alias ucap selamat tinggal buat one tweet2 au depan biasa aku nanti eh nyata anak2nya balik rumah dong,shock
pas masuk udah bilang iyah soal bingung sana mana2 macet duh juga ambil order pak bom jam kantor pulang lo macet jg lampu merah doang jalan bom tauk cikampek sama jorr nih,anger
astaga mau ketawa tp mau nang,shock
astaga iya lupa sayang,shock
wagelaseh cuti tolak antara 135 org paling eug sendiri yg blm pernah balik rumah lu sih pong libur panjang ga langsung kabur,sadness
anjir kentut bau banget dah mana sendiri kalo pas rame rame kan buat bom,disgust
hadeuh ribut aja soal islam nusantara indonesia kan mereka kenal ramah dunia luar gitu lho istilah zmn now masa kagak ngerti cui wlupun nyata suka berlku tak adil pd yg mnritas neg sadar,anger
1 yoon jisung asli lebih ganteng drpda foto emang pesona gaya rambut yg goda iman wannables makin jatuh cinta waktu ngedj doong gilak parah aing sampe ga tutup mulut ga henti senyum2 krna pesona keluar,love
apa beda diri yg selalu diam lama pergi jauh abai masalah datang nyata ku yg akhir thinkifyouhavebrain,sadness
allah moga kue bikin bunda kali dengan resep google hasil kasianin aku allah kan soleh mau ultah masa gagal maning gagal maning,fear
bener ga nyangka bakal gabung kesana,shock
belas terjemah editor kumpul workshop terjemah buku anak alisha roomtoread tanya what is translation sekian detik ruang hening krik krik,sadness
selamat ulang tahun dek zein yg dua th moga panjang umur tambah pinter tambah cerdas jadi anak sholih bakti dua org tua nusa bangsa,happy
sumpah td gue tidur jam 610 barusan gue bangun garagara mimpi kejar setan gue mimpi kejar miss k gue ga ngerti awal nya gmn yg gue inget awal,fear
jangan tuntut aku jd apa yg kamu mau karna aku takut akhir aku tak penuh tuntut terima aku apa ada pasti kamu buat bahagia cara,fear
astaga tangan iwin,shock
aku udh takut bgt nih soal rata2 yg ken fk sekolah aku aja rata2 anak paralel tp gatau jg kalo univ yg ken beda,fear
nggak salah sih akun rp kasih saran doa cepet kabul cuma lebih kasi sama udah nyoba saran nyata malah ga terkabul2 doa,sadness
jorok,disgust
lebig jorok bikin mata gw bedarah,disgust
makin dewasa kamu makin malas kamu halhal terlalu banyak drama teman penuh drama hubung asmara penuh drama kamu tahu kerja lebih penting pada semua dramadrama lelah boycandra,sadness
ngomong jorok ih,disgust
mulai sekarang sering ringin latih fake smile jelang lebaran tanya jadi kakak kapan nikah calon mana udah gak ken liat ibubapak gendong cucu hahahahaudah puasa hari 19,sadness
hampir tiap hari mbak kos suka ributin lo bodigardnya vela yg suka muterin halaman kosan mon maap ni mbak temen w emang gada tau diri muterin halaman kos dg suara motor gede hampir tiap hari,anger
iya bener loh han cinta tuh gk nikah gitu aja betul atau km nikah malah sama org,sadness
6 kill kiss marry fuck hug enemy 7 bg arlod bucin babi bau banget seruak seluruh penjuru bandung bg jakti sama aje cuma versi galak bg jap sex drivenya gue gak paham,disgust
intisari jangan main hp samsek gojek geng even udah deket rumah tinggal ngesot gila yah astagfirullahaladzim orang jaman sekarang tuh apa dilakuin hik,fear
jiwa berwirausaha usaha berani ambil resiko apa demi usaha nya gagal awal sukses,happy
hijab tanda bukti kasih sayang allah swt wanita allah swt cipta wanita indah sangat sempurna semua gantung kita wanita mahu jaga indah allah beri hancur indah,love
askmf idung gw abis kena bola kenceng bgt trs lgsg muncul lecet merah gt tulang idung perlu cek dokter ga sih takut tulang idung gw geser soal td bener2 kenceng bgt trs sakit nyeri gt tp skrg udh engga sih,fear
jorok,disgust
ehh serius dah ngapa masuk hisun base au gue gue blm fb agak creepy gimana ko ya makasih astaga kaget,shock
makas ayank aku temen aku keluarga aku atas semua doa doa gift nya neng bgt ga nyangka bakal bnyk yg ingett luv yu guys,shock
eum ya dewasa pake banget kamu mah iya bucin tapi apaapa asal sabila happy me cintas you,love
selalu takut kalo mama tau gue abis belanja2 pdhl belanja pake tabung sendiri cm kalo mama udh ngomel ntah knp jd nyesel sendiri udh belanja online trs,fear
aku pikir partai baru isi orangorang seperti didik utama didik agama buat bro baik usah laden orangorang ingin cepatcepat dapat pop,anger
terima kasih kak cantik lukis digital ka dinda yaa,happy
ga nyangka ini bakal jadi sama aku,shock
harap jelas pak ketua masyarakat paham mana apa kriteria gratifikasi lebaran yg larang masyarakat kriteria,fear
kamu tau aku sayang sama kamu rasa sayang aku kamu makin besar mungkin rasa sayang yg besar nanti sakit satu sama tapi saat aku benerbener sayang sama kamu sungguh hehehehe,love
kamu punya baju outfit favorit paling sering pakai padahal banyak baju lain sampe kalo kotor dikit langsung cuci ringin pake,happy
btw salut siapa bikin ad tokopedia cerita masa lalu orang nabung buat makan udang narasi cukup simple bisa langsung ngena gua emotionally well done,happy
astaga ni anak emang ga pernah akur,shock
cerita kisah kalau istri gabisa turun suami mau tahan rumah tangga si ibu laki2 mau si anak meni supaya ada turun si istri lapang dada pisah si laki2 kekeh tahan istri,sadness
